params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang
N=1024,fp16,0.0086,0.0032,0.0033,2.64,2.59,1.0174,0.0035,2.45
N=1024,fp32,0.0087,0.0037,0.0036,2.38,2.46,0.9672,0.0030,2.88
N=2048,fp16,0.0140,0.0049,0.0048,2.88,2.92,0.9847,0.0032,4.40
N=2048,fp32,0.0131,0.0055,0.0052,2.39,2.51,0.9546,0.0037,3.56
N=3072,fp16,0.0191,0.0066,0.0068,2.89,2.82,1.0271,0.0046,4.13
N=3072,fp32,0.0196,0.0076,0.0074,2.57,2.65,0.9713,0.0059,3.31
N=4096,fp16,0.0229,0.0070,0.0076,3.28,2.99,1.0960,0.0050,4.61
N=4096,fp32,0.0252,0.0099,0.0096,2.56,2.61,0.9787,0.0095,2.64
N=5120,fp16,0.0299,0.0094,0.0092,3.17,3.24,0.9769,0.0070,4.28
N=5120,fp32,0.0318,0.0122,0.0125,2.62,2.55,1.0248,0.0107,2.98
N=6144,fp16,0.0343,0.0098,0.0102,3.51,3.37,1.0394,0.0068,5.01
N=6144,fp32,0.0372,0.0143,0.0128,2.60,2.90,0.8974,0.0124,3.00
N=7168,fp16,0.0403,0.0126,0.0126,3.19,3.20,0.9985,0.0113,3.56
N=7168,fp32,0.0436,0.0162,0.0150,2.68,2.90,0.9246,0.0162,2.68
N=8192,fp16,0.0293,0.0129,0.0138,2.26,2.13,1.0625,0.0109,2.69
N=8192,fp32,0.0307,0.0182,0.0161,1.69,1.90,0.8860,0.0183,1.68
N=9216,fp16,0.0315,0.0157,0.0156,2.00,2.02,0.9914,0.0150,2.09
N=9216,fp32,0.0338,0.0202,0.0188,1.67,1.79,0.9310,0.0200,1.69
N=10240,fp16,0.0329,0.0157,0.0163,2.09,2.01,1.0397,0.0139,2.37
N=10240,fp32,0.0351,0.0220,0.0199,1.60,1.76,0.9059,0.0217,1.62
N=11264,fp16,0.0350,0.0186,0.0183,1.89,1.91,0.9885,0.0156,2.24
N=11264,fp32,0.0383,0.0242,0.0221,1.58,1.73,0.9127,0.0228,1.68
N=12288,fp16,0.0364,0.0187,0.0192,1.94,1.89,1.0273,0.0139,2.63
N=12288,fp32,0.0396,0.0259,0.0229,1.53,1.73,0.8832,0.0250,1.58
N=13312,fp16,0.0385,0.0215,0.0212,1.79,1.82,0.9877,0.0182,2.12
N=13312,fp32,0.0426,0.0279,0.0251,1.53,1.70,0.9010,0.0246,1.73
N=14336,fp16,0.0399,0.0215,0.0220,1.85,1.81,1.0229,0.0160,2.50
N=14336,fp32,0.0437,0.0297,0.0259,1.47,1.69,0.8717,0.0256,1.71
N=15360,fp16,0.0420,0.0243,0.0240,1.73,1.75,0.9865,0.0207,2.03
N=15360,fp32,0.0468,0.0323,0.0297,1.45,1.58,0.9205,0.0303,1.54
N=16384,fp16,0.0434,0.0244,0.0248,1.78,1.75,1.0168,0.0178,2.44
N=16384,fp32,0.0480,0.0363,0.0344,1.32,1.40,0.9468,0.0337,1.43
N=17408,fp16,0.0455,0.0270,0.0267,1.68,1.70,0.9895,0.0232,1.96
N=17408,fp32,0.0504,0.0355,0.0320,1.42,1.57,0.9028,0.0310,1.62
N=18432,fp16,0.0468,0.0272,0.0276,1.72,1.70,1.0111,0.0198,2.37
N=18432,fp32,0.0511,0.0368,0.0324,1.39,1.58,0.8806,0.0325,1.57
N=19456,fp16,0.0489,0.0299,0.0294,1.63,1.66,0.9825,0.0256,1.91
N=19456,fp32,0.0535,0.0384,0.0347,1.39,1.54,0.9027,0.0341,1.57
N=20480,fp16,0.0503,0.0298,0.0301,1.69,1.67,1.0103,0.0217,2.32
N=20480,fp32,0.0544,0.0401,0.0358,1.36,1.52,0.8913,0.0352,1.55
