params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile
input_rows=512,fp16,0.1490,0.0049,0.0059,30.28,25.18,1.2026
input_rows=512,fp32,0.0427,0.0057,0.0054,7.55,7.92,0.9532
input_rows=1024,fp16,0.1661,0.0131,0.0182,12.68,9.15,1.3856
input_rows=1024,fp32,0.1599,0.0155,0.0155,10.29,10.33,0.9959
input_rows=1536,fp16,0.3688,0.0259,0.0366,14.25,10.07,1.4146
input_rows=1536,fp32,0.3555,0.0318,0.0319,11.17,11.13,1.0037
input_rows=2048,fp16,0.6526,0.0437,0.0629,14.92,10.37,1.4386
input_rows=2048,fp32,0.6288,0.0539,0.0548,11.68,11.48,1.0168
input_rows=2560,fp16,1.0175,0.0662,0.0965,15.36,10.54,1.4569
input_rows=2560,fp32,0.9803,0.0820,0.0834,11.96,11.75,1.0178
input_rows=3072,fp16,1.4633,0.0940,0.1375,15.56,10.64,1.4619
input_rows=3072,fp32,1.4100,0.1162,0.1185,12.13,11.90,1.0195
input_rows=3584,fp16,1.9902,0.1261,0.1857,15.79,10.72,1.4732
input_rows=3584,fp32,1.9179,0.1568,0.1596,12.23,12.02,1.0180
input_rows=4096,fp16,2.5980,0.1639,0.2413,15.85,10.77,1.4719
input_rows=4096,fp32,2.5036,0.2031,0.2068,12.33,12.11,1.0179
input_rows=4608,fp16,3.2869,0.2057,0.3045,15.98,10.80,1.4800
input_rows=4608,fp32,3.1675,0.2563,0.2609,12.36,12.14,1.0180
input_rows=5120,fp16,4.0568,0.2538,0.3750,15.98,10.82,1.4774
input_rows=5120,fp32,3.9096,0.3152,0.3211,12.40,12.18,1.0186
input_rows=5632,fp16,4.9079,0.3053,0.4529,16.08,10.84,1.4833
input_rows=5632,fp32,4.7296,0.3806,0.3874,12.43,12.21,1.0180
input_rows=6144,fp16,5.8405,0.3635,0.5384,16.07,10.85,1.4810
input_rows=6144,fp32,5.6276,0.4521,0.4604,12.45,12.22,1.0183
input_rows=6656,fp16,6.8555,0.4251,0.6312,16.13,10.86,1.4847
input_rows=6656,fp32,6.6033,0.5302,0.5396,12.45,12.24,1.0177
input_rows=7168,fp16,7.9511,0.4931,0.7314,16.12,10.87,1.4831
input_rows=7168,fp32,7.6573,0.6137,0.6248,12.48,12.26,1.0181
input_rows=7680,fp16,9.1268,0.5640,0.8390,16.18,10.88,1.4875
input_rows=7680,fp32,8.7895,0.7040,0.7168,12.48,12.26,1.0181
input_rows=8192,fp16,10.3837,0.6427,0.9536,16.16,10.89,1.4838
input_rows=8192,fp32,9.9995,0.8002,0.8147,12.50,12.27,1.0181
input_rows=8704,fp16,11.7217,0.7232,1.0765,16.21,10.89,1.4885
input_rows=8704,fp32,11.2879,0.9032,0.9193,12.50,12.28,1.0178
input_rows=9216,fp16,13.1407,0.8123,1.2066,16.18,10.89,1.4854
input_rows=9216,fp32,12.6545,1.0124,1.0304,12.50,12.28,1.0177
input_rows=9728,fp16,14.6410,0.9028,1.3439,16.22,10.89,1.4887
input_rows=9728,fp32,14.0990,1.1279,1.1476,12.50,12.29,1.0174
input_rows=10240,fp16,16.2226,1.0018,1.4887,16.19,10.90,1.4861
input_rows=10240,fp32,15.6217,1.2486,1.2712,12.51,12.29,1.0181
