params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile
"cols=1024, rows=512",float32,0.0117,0.0032,0.0031,3.62,3.73,0.9687
"cols=2048, rows=512",float32,0.0142,0.0054,0.0046,2.63,3.06,0.8519
"cols=4096, rows=512",float32,0.0224,0.0093,0.0077,2.40,2.90,0.8280
"cols=8192, rows=512",float32,0.0240,0.0206,0.0147,1.16,1.63,0.7136
"cols=16384, rows=512",float32,0.0430,0.0416,0.0289,1.04,1.49,0.6947
"cols=1024, rows=1024",float32,0.0129,0.0039,0.0040,3.31,3.20,1.0256
"cols=2048, rows=1024",float32,0.0186,0.0061,0.0059,3.06,3.15,0.9672
"cols=4096, rows=1024",float32,0.0305,0.0129,0.0106,2.37,2.87,0.8217
"cols=8192, rows=1024",float32,0.0445,0.0261,0.0203,1.71,2.20,0.7778
"cols=16384, rows=1024",float32,0.0924,0.0491,0.0376,1.88,2.46,0.7658
"cols=1024, rows=2048",float32,0.0170,0.0055,0.0064,3.11,2.63,1.1636
"cols=2048, rows=2048",float32,0.0264,0.0097,0.0112,2.71,2.36,1.1546
"cols=4096, rows=2048",float32,0.0525,0.0191,0.0205,2.75,2.56,1.0733
"cols=8192, rows=2048",float32,0.0966,0.0349,0.0373,2.77,2.59,1.0688
"cols=16384, rows=2048",float32,0.1984,0.0618,0.0699,3.21,2.84,1.1311
"cols=1024, rows=4096",float32,0.0247,0.0099,0.0126,2.51,1.97,1.2727
"cols=2048, rows=4096",float32,0.0459,0.0193,0.0201,2.38,2.29,1.0415
"cols=4096, rows=4096",float32,0.0987,0.0352,0.0342,2.81,2.88,0.9716
"cols=8192, rows=4096",float32,0.2011,0.0603,0.0608,3.33,3.31,1.0083
"cols=16384, rows=4096",float32,0.3751,0.1083,0.1113,3.46,3.37,1.0277
