params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile
"D=32, M=1024",fp32,0.0354,0.0322,0.0791,1.10,0.45,2.4565
"D=64, M=1024",fp32,0.0390,0.0323,0.0825,1.21,0.47,2.5542
"D=128, M=1024",fp32,0.0369,0.0337,0.0872,1.09,0.42,2.5875
"D=256, M=1024",fp32,0.0393,0.0385,0.1000,1.02,0.39,2.5974
"D=32, M=2048",fp32,0.0402,0.0493,0.1206,0.82,0.33,2.4462
"D=64, M=2048",fp32,0.0379,0.0504,0.1529,0.75,0.25,3.0337
"D=128, M=2048",fp32,0.0421,0.0526,0.1584,0.80,0.27,3.0114
"D=256, M=2048",fp32,0.0457,0.0576,0.1751,0.79,0.26,3.0399
"D=32, M=4096",fp32,0.0381,0.0839,0.2899,0.45,0.13,3.4553
"D=64, M=4096",fp32,0.0412,0.0846,0.2941,0.49,0.14,3.4764
"D=128, M=4096",fp32,0.0491,0.0883,0.3018,0.56,0.16,3.4179
"D=256, M=4096",fp32,0.0585,0.0996,0.3272,0.59,0.18,3.2851
"D=32, M=8192",fp32,0.0440,0.1508,0.5720,0.29,0.08,3.7931
"D=64, M=8192",fp32,0.0477,0.1549,0.5767,0.31,0.08,3.7230
"D=128, M=8192",fp32,0.0612,0.1640,0.5881,0.37,0.10,3.5860
"D=256, M=8192",fp32,0.0813,0.1794,0.6393,0.45,0.13,3.5635
"D=32, M=10000",fp32,0.0462,0.1835,0.5528,0.25,0.08,3.0125
"D=64, M=10000",fp32,0.0527,0.1882,0.7040,0.28,0.07,3.7407
"D=128, M=10000",fp32,0.0685,0.1979,0.7207,0.35,0.10,3.6417
"D=256, M=10000",fp32,0.0936,0.2178,0.7786,0.43,0.12,3.5748
