params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile
K=1024,int8,0.2251,0.0219,0.0258,10.30,8.71,1.1829
K=2048,int8,0.3898,0.0395,0.0418,9.87,9.33,1.0578
K=3072,int8,0.5574,0.0553,0.0579,10.08,9.63,1.0470
K=4096,int8,0.7252,0.0714,0.0738,10.15,9.83,1.0330
K=5120,int8,0.8996,0.0877,0.0896,10.26,10.04,1.0217
K=6144,int8,1.0666,0.1041,0.1058,10.25,10.08,1.0164
K=7168,int8,1.2359,0.1199,0.1216,10.31,10.16,1.0143
K=8192,int8,1.4052,0.1357,0.1376,10.36,10.21,1.0141
K=9216,int8,1.5741,0.1516,0.1536,10.39,10.25,1.0135
K=10240,int8,1.7418,0.1675,0.1694,10.40,10.28,1.0113
K=11264,int8,1.9104,0.1833,0.1854,10.42,10.30,1.0114
K=12288,int8,2.0793,0.1992,0.2014,10.44,10.32,1.0112
K=13312,int8,2.2476,0.2157,0.2174,10.42,10.34,1.0079
K=14336,int8,2.4166,0.2314,0.2331,10.44,10.37,1.0076
K=15360,int8,2.5857,0.2476,0.2492,10.44,10.38,1.0064
K=16384,int8,2.7527,0.2635,0.2653,10.45,10.38,1.0067
K=17408,int8,2.9227,0.2787,0.2810,10.49,10.40,1.0083
K=18432,int8,3.0918,0.2957,0.2969,10.46,10.41,1.0042
K=19456,int8,3.2611,0.3113,0.3129,10.48,10.42,1.0051
K=20480,int8,3.4309,0.3275,0.3289,10.47,10.43,1.0040
