params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang,torch_nki_ms,nki_ms,speedup_nki
M=512,fp16,0.0185,0.0021,0.0022,8.78,8.22,1.0684,0.0019,9.84,2.5048,0.0351,71.41
M=512,bf16,0.0173,0.0019,0.0021,8.97,8.27,1.0848,0.0017,10.43,2.5047,0.0350,71.65
M=512,fp32,0.0185,0.0021,0.0025,8.66,7.53,1.1504,0.0017,10.64,2.5056,0.0356,70.34
M=1024,fp16,0.0276,0.0025,0.0031,10.84,8.95,1.2111,0.0024,11.32,9.9260,0.1009,98.34
M=1024,bf16,0.0266,0.0025,0.0031,10.80,8.53,1.2652,0.0021,12.75,9.9259,0.1009,98.33
M=1024,fp32,0.0265,0.0028,0.0037,9.56,7.15,1.3378,0.0027,9.70,9.9266,0.1003,98.98
M=1536,fp16,0.0390,0.0043,0.0064,9.16,6.04,1.5158,0.0036,10.75,20.2811,0.2074,97.77
M=1536,bf16,0.0381,0.0043,0.0064,8.94,5.94,1.5039,0.0038,10.09,20.2811,0.2074,97.77
M=1536,fp32,0.0388,0.0044,0.0068,8.73,5.69,1.5338,0.0048,8.02,13.9147,0.2079,66.92
M=2048,fp16,0.0583,0.0046,0.0077,12.60,7.61,1.6569,0.0041,14.08,25.6457,0.3570,71.84
M=2048,bf16,0.0570,0.0044,0.0077,13.09,7.38,1.7740,0.0042,13.50,25.6618,0.3570,71.88
M=2048,fp32,0.0598,0.0072,0.0095,8.36,6.28,1.3315,0.0066,9.02,24.7112,0.3589,68.84
M=2560,fp16,0.0920,0.0083,0.0140,11.04,6.57,1.6801,0.0078,11.80,38.5823,0.5483,70.37
M=2560,bf16,0.0913,0.0085,0.0141,10.81,6.48,1.6664,0.0056,16.30,38.5821,0.5483,70.37
M=2560,fp32,0.0969,0.0110,0.0161,8.81,6.02,1.4627,0.0114,8.51,38.6094,0.5491,70.31
M=3072,fp16,0.1331,0.0089,0.0197,14.89,6.74,2.2069,0.0084,15.87,55.5372,0.7817,71.04
M=3072,bf16,0.1322,0.0088,0.0197,15.01,6.73,2.2321,0.0084,15.66,55.5370,0.7818,71.04
M=3072,fp32,0.1405,0.0145,0.0223,9.69,6.31,1.5347,0.0140,10.01,55.5738,0.7818,71.09
M=3584,fp16,0.1792,0.0146,0.0263,12.26,6.82,1.7980,0.0150,11.92,75.5826,1.0570,71.51
M=3584,bf16,0.1788,0.0146,0.0263,12.28,6.80,1.8042,0.0110,16.29,75.5828,1.0569,71.51
M=3584,fp32,0.1886,0.0181,0.0289,10.41,6.52,1.5968,0.0199,9.48,75.6304,1.0578,71.49
M=4096,fp16,0.2264,0.0146,0.0251,15.51,9.02,1.7200,0.0134,16.89,99.5658,1.3753,72.39
M=4096,bf16,0.2264,0.0147,0.0251,15.44,9.03,1.7093,0.0137,16.57,99.5027,1.3755,72.34
M=4096,fp32,0.2420,0.0229,0.0307,10.58,7.88,1.3436,0.0226,10.70,98.8365,1.3760,71.83
M=4608,fp16,0.2830,0.0222,0.0405,12.76,6.99,1.8253,0.0228,12.42,124.9118,1.7339,72.04
M=4608,bf16,0.2834,0.0222,0.0405,12.78,7.00,1.8254,0.0227,12.47,124.9119,1.7339,72.04
M=4608,fp32,0.3021,0.0280,0.0457,10.78,6.60,1.6319,0.0306,9.89,125.0999,1.7367,72.03
M=5120,fp16,0.3459,0.0209,0.0498,16.59,6.95,2.3879,0.0194,17.79,154.1932,2.1360,72.19
M=5120,bf16,0.3458,0.0208,0.0498,16.59,6.94,2.3895,0.0195,17.70,154.1934,2.1361,72.19
M=5120,fp32,0.3668,0.0335,0.0554,10.96,6.63,1.6542,0.0333,11.02,154.3176,2.1364,72.23
M=5632,fp16,0.4140,0.0316,0.0592,13.08,7.00,1.8697,0.0328,12.61,186.6698,2.5780,72.41
M=5632,bf16,0.4140,0.0316,0.0591,13.09,7.00,1.8702,0.0324,12.77,186.6701,2.5780,72.41
M=5632,fp32,0.4416,0.0400,0.0669,11.05,6.60,1.6742,0.0436,10.12,186.8025,2.5789,72.44
M=6144,fp16,0.4886,0.0287,0.0710,17.04,6.88,2.4769,0.0268,18.21,222.0560,3.0642,72.47
M=6144,bf16,0.4884,0.0287,0.0710,17.02,6.88,2.4752,0.0269,18.18,222.0558,3.0642,72.47
M=6144,fp32,0.5215,0.0465,0.0802,11.22,6.50,1.7256,0.0466,11.18,222.2288,3.0641,72.53
M=6656,fp16,0.5704,0.0431,0.0815,13.25,7.00,1.8935,0.0446,12.78,260.5408,3.5904,72.57
M=6656,bf16,0.5700,0.0430,0.0815,13.25,6.99,1.8943,0.0310,18.39,260.5411,3.5902,72.57
M=6656,fp32,0.6108,0.0546,0.0922,11.20,6.62,1.6903,0.0594,10.28,260.8216,3.5915,72.62
M=7168,fp16,0.6585,0.0375,0.0954,17.55,6.90,2.5431,0.0354,18.61,302.2148,4.1605,72.64
M=7168,bf16,0.6582,0.0375,0.0954,17.54,6.90,2.5429,0.0353,18.64,302.2146,4.1606,72.64
